status,age,customer_value,FN,FP,seconds_of_use,call_failure,complains,subs_len,charge_amount,freq_of_use,freq_of_sms,distinct_call_nums,tariff_plan,ageGroup,Churn
1,5,237,205.632,72.848,4370,8,0,38,0,54.0,21.0,21.0,1,1,0
1,6,237,205.632,72.848,0,0,0,39,0,54.0,21.0,21.0,1,1,0
1,2,237,205.632,72.848,2453,10,0,37,0,54.0,21.0,21.0,1,1,0
1,10,237,205.632,72.848,4198,10,0,38,0,54.0,21.0,21.0,1,1,0
1,9,237,205.632,72.848,2393,3,0,32,0,54.0,21.0,21.0,1,1,0
1,15,237,205.632,72.848,3775,11,0,38,1,54.0,21.0,21.0,1,1,0
1,1,237,205.632,72.848,2360,4,0,38,0,54.0,21.0,21.0,1,1,0
1,15,237,205.632,72.848,9115,13,0,37,2,54.0,21.0,21.0,1,1,0
1,15,237,205.632,72.848,13773,7,0,38,0,54.0,21.0,21.0,1,1,0
1,11,237,205.632,72.848,4515,7,0,38,1,54.0,21.0,21.0,1,1,0
1,26,237,205.632,72.848,5918,6,0,38,0,54.0,21.0,21.0,1,2,0
1,13,237,205.632,72.848,2238,9,0,38,0,54.0,21.0,21.0,1,1,0
1,0,237,205.632,72.848,15140,25,0,38,3,54.0,21.0,21.0,1,0,0
1,9,237,205.632,72.848,3095,4,0,38,1,54.0,21.0,21.0,1,1,0
1,0,237,205.632,72.848,15485,9,0,37,0,54.0,21.0,21.0,1,0,0
1,25,237,205.632,72.848,6500,3,0,37,1,54.0,21.0,21.0,1,2,0
1,7,237,205.632,72.848,875,0,0,37,0,54.0,21.0,21.0,1,1,1
1,9,237,205.632,72.848,710,2,0,38,0,54.0,21.0,21.0,1,1,0
1,3,0,205.632,72.848,0,0,0,37,0,54.0,21.0,21.0,1,1,1
1,12,237,205.632,72.848,7508,3,0,37,0,54.0,21.0,21.0,1,1,0
1,3,237,205.632,72.848,11465,7,0,37,1,54.0,21.0,21.0,1,1,0
1,0,237,205.632,72.848,6718,8,0,37,1,54.0,21.0,21.0,1,0,0
1,11,237,205.632,72.848,955,23,1,33,0,54.0,21.0,21.0,1,1,1
1,15,237,205.632,72.848,10435,21,1,36,8,54.0,21.0,21.0,2,1,0
1,7,237,205.632,72.848,0,13,1,36,1,54.0,21.0,21.0,1,1,1
